1: Среднее ар: 0, медиана: 0, макс: 1, мин: 0, ниж.квант: 0, верх.квант: 0
250: Среднее ар: 184, медиана: 194, макс: 236, мин: 77, ниж.квант: 193, верх.квант: 194
500: Среднее ар: 309, медиана: 285, макс: 806, мин: 285, ниж.квант: 285, верх.квант: 286
750: Среднее ар: 679, медиана: 624, макс: 1780, мин: 623, ниж.квант: 624, верх.квант: 626
1000: Среднее ар: 1230, медиана: 1091, макс: 3161, мин: 1087, ниж.квант: 1091, верх.квант: 1097
1250: Среднее ар: 3247, медиана: 4255, макс: 4524, мин: 1686, ниж.квант: 1711, верх.квант: 4260
1500: Среднее ар: 5489, медиана: 6077, макс: 6951, мин: 2409, ниж.квант: 6069, верх.квант: 6105
1750: Среднее ар: 7478, медиана: 8241, макс: 9291, мин: 3267, ниж.квант: 8218, верх.квант: 8251
2000: Среднее ар: 9861, медиана: 10703, макс: 12070, мин: 4249, ниж.квант: 10687, верх.квант: 10717
2250: Среднее ар: 12636, медиана: 13506, макс: 16031, мин: 5396, ниж.квант: 13486, верх.квант: 13518
2500: Среднее ар: 15057, медиана: 16630, макс: 16961, мин: 6621, ниж.квант: 16611, верх.квант: 16644
2750: Среднее ар: 18506, медиана: 20084, макс: 24480, мин: 8010, ниж.квант: 20059, верх.квант: 20103
3000: Среднее ар: 21595, медиана: 23833, макс: 29090, мин: 9518, ниж.квант: 23815, верх.квант: 23855
3250: Среднее ар: 25606, медиана: 27942, макс: 34445, мин: 11169, ниж.квант: 27916, верх.квант: 27952
3500: Среднее ар: 28111, медиана: 32343, макс: 37611, мин: 12835, ниж.квант: 32133, верх.квант: 32350
3750: Среднее ар: 31753, медиана: 37055, макс: 41977, мин: 14709, ниж.квант: 36864, верх.квант: 37070
4000: Среднее ар: 27359, медиана: 16940, макс: 46565, мин: 16729, ниж.квант: 16742, верх.квант: 42142
4250: Среднее ар: 21747, медиана: 18875, макс: 49484, мин: 18859, ниж.квант: 18871, верх.квант: 18882
4500: Среднее ар: 23406, медиана: 21159, макс: 52421, мин: 21137, ниж.квант: 21154, верх.квант: 21176
4750: Среднее ар: 27122, медиана: 23549, макс: 55083, мин: 23531, ниж.квант: 23544, верх.квант: 23801
5000: Среднее ар: 27824, медиана: 26069, макс: 56494, мин: 26050, ниж.квант: 26065, верх.квант: 26131
5250: Среднее ар: 34175, медиана: 28744, макс: 60273, мин: 28706, ниж.квант: 28722, верх.квант: 29730
5500: Среднее ар: 40061, медиана: 31653, макс: 63899, мин: 31485, ниж.квант: 31501, верх.квант: 56945
5750: Среднее ар: 41151, медиана: 34448, макс: 63978, мин: 34397, ниж.квант: 34414, верх.квант: 47003
6000: Среднее ар: 46469, медиана: 37768, макс: 67815, мин: 37428, ниж.квант: 37445, верх.квант: 63178
6250: Среднее ар: 51773, медиана: 41633, макс: 71544, мин: 40604, ниж.квант: 40625, верх.квант: 68171
6500: Среднее ар: 53448, медиана: 44173, макс: 82347, мин: 43906, ниж.квант: 43932, верх.квант: 70980
6750: Среднее ар: 53219, медиана: 47353, макс: 92270, мин: 47325, ниж.квант: 47340, верх.квант: 49228
7000: Среднее ар: 57387, медиана: 50918, макс: 90485, мин: 50884, ниж.квант: 50902, верх.квант: 52801
7250: Среднее ар: 59827, медиана: 54597, макс: 84249, мин: 54559, ниж.квант: 54582, верх.квант: 56970
7500: Среднее ар: 61465, медиана: 58410, макс: 89722, мин: 58376, ниж.квант: 58392, верх.квант: 59037
7750: Среднее ар: 65473, медиана: 62338, макс: 93641, мин: 62305, ниж.квант: 62329, верх.квант: 62412
8000: Среднее ар: 69819, медиана: 66418, макс: 97361, мин: 66376, ниж.квант: 66397, верх.квант: 66495
8250: Среднее ар: 76294, медиана: 70616, макс: 105017, мин: 70568, ниж.квант: 70594, верх.квант: 72908
8500: Среднее ар: 82914, медиана: 74947, макс: 117749, мин: 74894, ниж.квант: 74909, верх.квант: 102300
8750: Среднее ар: 84044, медиана: 79377, макс: 110778, мин: 79343, ниж.квант: 79363, верх.квант: 80462
9000: Среднее ар: 93018, медиана: 83991, макс: 116306, мин: 83930, ниж.квант: 83957, верх.квант: 111607
9250: Среднее ар: 95026, медиана: 88745, макс: 133964, мин: 88648, ниж.квант: 88681, верх.квант: 92873
9500: Среднее ар: 99532, медиана: 93624, макс: 124669, мин: 93480, ниж.квант: 93557, верх.квант: 95930
9750: Среднее ар: 104223, медиана: 98471, макс: 131048, мин: 98429, ниж.квант: 98448, верх.квант: 100263
10000: Среднее ар: 113430, медиана: 103828, макс: 133927, мин: 103536, ниж.квант: 103593, верх.квант: 131669
