1: Среднее ар: 0, медиана: 0, макс: 1, мин: 0, ниж.квант: 0, верх.квант: 0
250: Среднее ар: 45, медиана: 47, макс: 105, мин: 19, ниж.квант: 47, верх.квант: 48
500: Среднее ар: 164, медиана: 172, макс: 229, мин: 68, ниж.квант: 172, верх.квант: 172
750: Среднее ар: 359, медиана: 378, макс: 468, мин: 150, ниж.квант: 377, верх.квант: 378
1000: Среднее ар: 305, медиана: 264, макс: 747, мин: 263, ниж.квант: 264, верх.квант: 264
1250: Среднее ар: 487, медиана: 410, макс: 1328, мин: 409, ниж.квант: 410, верх.квант: 510
1500: Среднее ар: 677, медиана: 588, макс: 1685, мин: 587, ниж.квант: 588, верх.квант: 603
1750: Среднее ар: 1852, медиана: 2008, макс: 2460, мин: 798, ниж.квант: 2007, верх.квант: 2024
2000: Среднее ар: 2483, медиана: 2630, макс: 3056, мин: 1040, ниж.квант: 2617, верх.квант: 2637
2250: Среднее ар: 3185, медиана: 3321, макс: 3769, мин: 1314, ниж.квант: 3308, верх.квант: 3357
2500: Среднее ар: 4000, медиана: 4099, макс: 9203, мин: 1632, ниж.квант: 4091, верх.квант: 4129
2750: Среднее ар: 4740, медиана: 4948, макс: 5633, мин: 1971, ниж.квант: 4943, верх.квант: 4968
3000: Среднее ар: 5693, медиана: 5890, макс: 6677, мин: 2330, ниж.квант: 5876, верх.квант: 5914
3250: Среднее ар: 6709, медиана: 6901, макс: 8607, мин: 2733, ниж.квант: 6891, верх.квант: 6929
3500: Среднее ар: 7766, медиана: 7995, макс: 10450, мин: 3168, ниж.квант: 7987, верх.квант: 8015
3750: Среднее ар: 8679, медиана: 9175, макс: 10938, мин: 3647, ниж.квант: 9163, верх.квант: 9203
4000: Среднее ар: 10240, медиана: 10448, макс: 12102, мин: 4143, ниж.квант: 10420, верх.квант: 10466
4250: Среднее ар: 11337, медиана: 11785, макс: 13315, мин: 4906, ниж.квант: 11762, верх.квант: 11825
4500: Среднее ар: 12767, медиана: 13203, макс: 15754, мин: 5242, ниж.квант: 13181, верх.квант: 13242
4750: Среднее ар: 14027, медиана: 14698, макс: 16925, мин: 5846, ниж.квант: 14677, верх.квант: 14735
5000: Среднее ар: 15690, медиана: 16288, макс: 19385, мин: 6504, ниж.квант: 16271, верх.квант: 16320
5250: Среднее ар: 17366, медиана: 17954, макс: 21972, мин: 7161, ниж.квант: 17935, верх.квант: 17993
5500: Среднее ар: 18988, медиана: 19698, макс: 23950, мин: 7815, ниж.квант: 19669, верх.квант: 19735
5750: Среднее ар: 20905, медиана: 21555, макс: 24936, мин: 8545, ниж.квант: 21517, верх.квант: 21611
6000: Среднее ар: 22625, медиана: 23447, макс: 28566, мин: 9315, ниж.квант: 23412, верх.квант: 23505
6250: Среднее ар: 24872, медиана: 25411, макс: 35635, мин: 10098, ниж.квант: 25393, верх.квант: 25462
6500: Среднее ар: 25796, медиана: 27471, макс: 34467, мин: 10926, ниж.квант: 27449, верх.квант: 27504
6750: Среднее ар: 28667, медиана: 29626, макс: 37074, мин: 11762, ниж.квант: 29605, верх.квант: 29701
7000: Среднее ар: 31488, медиана: 31919, макс: 38404, мин: 12648, ниж.квант: 31844, верх.квант: 32061
7250: Среднее ар: 31152, медиана: 34173, макс: 44504, мин: 13576, ниж.квант: 34139, верх.квант: 34244
7500: Среднее ар: 33696, медиана: 36615, макс: 50271, мин: 14534, ниж.квант: 36546, верх.квант: 36684
7750: Среднее ар: 35169, медиана: 39016, макс: 45533, мин: 15485, ниж.квант: 38983, верх.квант: 39074
8000: Среднее ар: 31645, медиана: 41549, макс: 47780, мин: 16499, ниж.квант: 16538, верх.квант: 41605
8250: Среднее ар: 25786, медиана: 24450, макс: 54571, мин: 17547, ниж.квант: 17577, верх.квант: 26325
8500: Среднее ар: 22123, медиана: 18663, макс: 49382, мин: 18623, ниж.квант: 18643, верх.квант: 18892
8750: Среднее ар: 23058, медиана: 19779, макс: 51662, мин: 19732, ниж.квант: 19754, верх.квант: 19871
9000: Среднее ар: 25802, медиана: 20917, макс: 51476, мин: 20876, ниж.квант: 20888, верх.квант: 22952
9250: Среднее ар: 25971, медиана: 22083, макс: 52925, мин: 22050, ниж.квант: 22065, верх.квант: 23758
9500: Среднее ар: 29963, медиана: 23300, макс: 56109, мин: 23255, ниж.квант: 23272, верх.квант: 30364
9750: Среднее ар: 30182, медиана: 24528, макс: 55902, мин: 24501, ниж.квант: 24510, верх.квант: 26511
10000: Среднее ар: 31464, медиана: 25803, макс: 66411, мин: 25767, ниж.квант: 25782, верх.квант: 27435
